id;nombre
0;na
1;ANDEN
2;CORREDOR
3;ESTACIONAMIENTO
4;LOBBY
5;MEZZANINE
6;PASAJE
7;PASILLO
8;PENTHOUSE
9;PISO 1
10;PISO 10
11;PISO 11
12;PISO 12
13;PISO 13
14;PISO 14
15;PISO 15
16;PISO 16
17;PISO 17
18;PISO 18
19;PISO 19
20;PISO 2
21;PISO 20
22;PISO 21
23;PISO 22
24;PISO 24
25;PISO 25
26;PISO 3
27;PISO 4
28;PISO 41
29;PISO 49
30;PISO 5
31;PISO 6
32;PISO 7
33;PISO 8
34;PISO 9
35;PLANTA BAJA
36;ROOF GARDEN
37;SOTANO 1
38;SOTANO 2
39;SOTANO 3
40;SOTANO 4
41;SOTANO 5
42;TUNEL
