id;nombre
0;na
1;EDIFICIO COMERCIAL Y DE SERVICIOS
2;CENTRO Y PLAZA COMERCIAL
3;MERCADO PUBLICO
4;HOTELES
5;CIUDAD INDUSTRIAL
6;PARQUE INDUSTRIAL
7;CORREDOR INDUSTRIAL
8;ZONA INDUSTRIAL
9;TIANGUIS, BAZAR O PULGA
10;PASAJE Y ANDADOR COMERCIAL
11;CENTRAL DE ABASTO
12;PARQUE RECREATIVO
13;HOSPITAL, CENTRO MEDICO O CLINICA
14;CORREDORES TURÍSTICOS
15;AEROPUERTO
16;CENTRAL CAMIONERA
